timestamp, name, pci.bus_id, driver_version, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB]
2023/12/12 11:47:57.410, NVIDIA A40, 00000000:01:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45386 MiB
2023/12/12 11:47:57.412, NVIDIA A40, 00000000:23:00.0, 545.23.08, 24, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 11:47:57.413, NVIDIA A40, 00000000:41:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 11:47:57.416, NVIDIA A40, 00000000:61:00.0, 545.23.08, 65, 100 %, 92 %, 46068 MiB, 8757 MiB
2023/12/12 11:47:57.417, NVIDIA A40, 00000000:81:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 11:47:57.418, NVIDIA A40, 00000000:A1:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 11:47:57.420, NVIDIA A40, 00000000:C1:00.0, 545.23.08, 24, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 11:47:57.421, NVIDIA A40, 00000000:E1:00.0, 545.23.08, 39, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 11:48:57.424, NVIDIA A40, 00000000:01:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45386 MiB
2023/12/12 11:48:57.430, NVIDIA A40, 00000000:23:00.0, 545.23.08, 24, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 11:48:57.430, NVIDIA A40, 00000000:41:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 11:48:57.431, NVIDIA A40, 00000000:61:00.0, 545.23.08, 65, 100 %, 69 %, 46068 MiB, 8757 MiB
2023/12/12 11:48:57.432, NVIDIA A40, 00000000:81:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 11:48:57.433, NVIDIA A40, 00000000:A1:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 11:48:57.433, NVIDIA A40, 00000000:C1:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 11:48:57.434, NVIDIA A40, 00000000:E1:00.0, 545.23.08, 53, 86 %, 43 %, 46068 MiB, 33313 MiB
2023/12/12 11:49:57.434, NVIDIA A40, 00000000:01:00.0, 545.23.08, 27, 0 %, 0 %, 46068 MiB, 45386 MiB
2023/12/12 11:49:57.435, NVIDIA A40, 00000000:23:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 11:49:57.436, NVIDIA A40, 00000000:41:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 11:49:57.437, NVIDIA A40, 00000000:61:00.0, 545.23.08, 66, 84 %, 72 %, 46068 MiB, 8757 MiB
2023/12/12 11:49:57.437, NVIDIA A40, 00000000:81:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 11:49:57.438, NVIDIA A40, 00000000:A1:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 11:49:57.438, NVIDIA A40, 00000000:C1:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 11:49:57.439, NVIDIA A40, 00000000:E1:00.0, 545.23.08, 51, 0 %, 0 %, 46068 MiB, 33313 MiB
2023/12/12 11:50:57.439, NVIDIA A40, 00000000:01:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45386 MiB
2023/12/12 11:50:57.441, NVIDIA A40, 00000000:23:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 11:50:57.442, NVIDIA A40, 00000000:41:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 11:50:57.443, NVIDIA A40, 00000000:61:00.0, 545.23.08, 65, 88 %, 62 %, 46068 MiB, 8757 MiB
2023/12/12 11:50:57.443, NVIDIA A40, 00000000:81:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 11:50:57.444, NVIDIA A40, 00000000:A1:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 11:50:57.445, NVIDIA A40, 00000000:C1:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 11:50:57.445, NVIDIA A40, 00000000:E1:00.0, 545.23.08, 58, 78 %, 58 %, 46068 MiB, 33313 MiB
2023/12/12 11:51:57.447, NVIDIA A40, 00000000:01:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45386 MiB
2023/12/12 11:51:57.448, NVIDIA A40, 00000000:23:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 11:51:57.448, NVIDIA A40, 00000000:41:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 11:51:57.449, NVIDIA A40, 00000000:61:00.0, 545.23.08, 66, 89 %, 52 %, 46068 MiB, 8757 MiB
2023/12/12 11:51:57.449, NVIDIA A40, 00000000:81:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 11:51:57.450, NVIDIA A40, 00000000:A1:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 11:51:57.451, NVIDIA A40, 00000000:C1:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 11:51:57.451, NVIDIA A40, 00000000:E1:00.0, 545.23.08, 57, 28 %, 11 %, 46068 MiB, 33313 MiB
2023/12/12 11:52:57.453, NVIDIA A40, 00000000:01:00.0, 545.23.08, 27, 0 %, 0 %, 46068 MiB, 45386 MiB
2023/12/12 11:52:57.453, NVIDIA A40, 00000000:23:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
