timestamp, name, pci.bus_id, driver_version, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB]
2023/12/12 08:49:53.543, NVIDIA A40, 00000000:01:00.0, 545.23.08, 29, 5 %, 1 %, 46068 MiB, 45082 MiB
2023/12/12 08:49:53.563, NVIDIA A40, 00000000:23:00.0, 545.23.08, 38, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 08:49:53.565, NVIDIA A40, 00000000:41:00.0, 545.23.08, 37, 4 %, 1 %, 46068 MiB, 35101 MiB
2023/12/12 08:49:53.566, NVIDIA A40, 00000000:61:00.0, 545.23.08, 27, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 08:49:53.568, NVIDIA A40, 00000000:81:00.0, 545.23.08, 38, 34 %, 24 %, 46068 MiB, 35169 MiB
2023/12/12 08:49:53.569, NVIDIA A40, 00000000:A1:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 08:49:53.571, NVIDIA A40, 00000000:C1:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 08:49:53.573, NVIDIA A40, 00000000:E1:00.0, 545.23.08, 66, 100 %, 51 %, 46068 MiB, 8934 MiB
2023/12/12 08:50:53.575, NVIDIA A40, 00000000:01:00.0, 545.23.08, 28, 0 %, 0 %, 46068 MiB, 45082 MiB
2023/12/12 08:50:53.577, NVIDIA A40, 00000000:23:00.0, 545.23.08, 29, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 08:50:53.578, NVIDIA A40, 00000000:41:00.0, 545.23.08, 37, 10 %, 5 %, 46068 MiB, 35101 MiB
2023/12/12 08:50:53.578, NVIDIA A40, 00000000:61:00.0, 545.23.08, 31, 0 %, 0 %, 46068 MiB, 8773 MiB
2023/12/12 08:50:53.579, NVIDIA A40, 00000000:81:00.0, 545.23.08, 38, 10 %, 5 %, 46068 MiB, 35169 MiB
2023/12/12 08:50:53.579, NVIDIA A40, 00000000:A1:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 08:50:53.583, NVIDIA A40, 00000000:C1:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 08:50:53.584, NVIDIA A40, 00000000:E1:00.0, 545.23.08, 65, 100 %, 59 %, 46068 MiB, 8934 MiB
2023/12/12 08:51:53.585, NVIDIA A40, 00000000:01:00.0, 545.23.08, 28, 0 %, 0 %, 46068 MiB, 45082 MiB
2023/12/12 08:51:53.587, NVIDIA A40, 00000000:23:00.0, 545.23.08, 27, 0 %, 0 %, 46068 MiB, 45408 MiB
